Bins,BinStatus,BinType,ColourBand,Contract,ContractDesc,ContractVendor,FruitSize,Grade,GrowMethod,HarvestDate,HarvestPick,KGs,Location,MarketType,Markets,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,PackingGroup,PackingPlan,PackingPlanDesc,ProblemRisk,Produce,SourceRun,StorageType,SubmCode,SubmProfile,SubmDate,TraderIn,Traders,Units,Variety,VarietyDesc,Run
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,11/02/2025,,261.864,C1 C139,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Steel,B,R1149,R1149B,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,P1014,S,,B,,RA,RA,0.7274,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,12/02/2025,,275.22,C1 C139,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Riverside Apples,U,R1021,R1021C,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,P1029,S,,B,,RA,RA,0.7645,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,13/02/2025,,190.404,C1 C139,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Rockit STOCK ROADS,,R2534,R2534A,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,P1023,S,,B,,RA,RA,0.5289,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,13/02/2025,,280.152,C1 C139,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Steel,C,R1149,R1149C,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,P1035,S,,B,,RA,RA,0.7782,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,15/02/2025,,360,P2 P244,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Valley,,R2919,R2919G,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,PE1191,S,,B,,RA,RA,1,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,17/02/2025,,41.508,C1 C139,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Valley,,R2919,R2919G,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,P1231,S,,B,,RA,RA,0.1153,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,17/02/2025,,235.188,C1 C139,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Pioneer,,R1580,R1580B,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,P1042,S,,B,,RA,RA,0.6533,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,17/02/2025,,260.964,C1 C139,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Valley,,R2919,R2919G,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,P1231,S,,B,,RA,RA,0.7249,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,17/02/2025,,325.872,C1 C139,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Pioneer,,R1580,R1580B,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,P1042,S,,B,,RA,RA,0.9052,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,17/02/2025,,360,P2 P244,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Valley,,R2919,R2919G,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,PE1196,S,,B,,RA,RA,1,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,17/02/2025,,1080,P2 P250,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Valley,,R2919,R2919G,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,PE1261,S,,B,,RA,RA,3,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,19/02/2025,,167.292,C1 C139,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Steel,A,R1149,R1149A,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,P1037,S,,B,,RA,RA,0.4647,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,19/02/2025,,222.3,C1 C139,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Tukituki,A,R1262,R1262A,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,P1038,S,,B,,RA,RA,0.6175,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,19/02/2025,,269.568,P4 P407,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",Korokipo Verries,KVR2,R2872,R2872D,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,P1064,S,,B,,RA,RA,0.7488,996,Rockit (TM),
1,In stock,Export Bin,,35,ROCKIT 3 STRAP EXP BINS,Rockit Trading Company Ltd,117,HG,CN,21/02/2025,,217.692,C1 C139,Export,"ARE,BRN,CAN,CHN,EUR,HKG,IDN,IND,MYS,NOR,NZL,SGP,THA,TWN,USA,USACA,VNM",MANZANA 2,B,R2925,R2925B,,,,NZ RK 996Rockit   117 ExprtBn CN HG UNN,,Apple,P1224,S,,,,RA,RA,0.6047,996,Rockit (TM),
